0.005998,0.005998,23.754,14.777
0.28796,0.33895,35.498,22.454
0.004998,0.004998,23.794,489.72
0.011998,0.011998,24.23,10.14
917.8,917.8,5001,944.79
0.039993,0.039993,34.603,5001
5001,5001,5001,5001
0.029995,0.029995,287.67,843.9
0.007997,0.007997,24.023,8.984
3.5125,3.5125,308.13,166.56
364.6,364.6,805.22,450.05
0.007998,0.007998,23.753,56.322
0.004999,0.004999,29.421,13.331
0.051992,0.051992,23.789,0.19297
5001,5001,5001,5001
5001,5001,5001,5001
0.008997,0.012997,23.765,11.02
2260.9,2260.9,5001,2286.8
0.016996,0.016996,35.45,78.426
23.901,23.901,182.34,50.417
0.051991,0.11898,25.55,10.558
7.4069,7.4069,168.83,38.522
0.14798,0.14798,8.23,27.579
6.9919,6.9919,168.42,38.168
5001,5001,5001,5001
954.83,954.83,5001,980.34
0.007998,0.007998,23.758,42.961
0.078987,0.55092,35.73,0.55092
0.013997,0.013997,23.789,9.3609
142.58,142.58,5001,168.36
0.25496,0.25496,7.75,25.746
