Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
186,32,66,53.9349,0,10.0,-1,0.001,1.0,1,53.9349,10,0.18600000000000014,SAT,,0.028,
187,32,72,36.3567,0,10.0,-1,0.001,1.0,1,36.3567,10,0.18700000000000014,SAT,,0.03,
188,32,75,30.8625,0,10.0,-1,0.001,1.0,1,30.8625,10,0.18800000000000014,SAT,,0.029,
189,32,56,70.5851,0,10.0,-1,0.001,1.0,1,70.5851,10,0.18900000000000014,SAT,,0.028,
190,26,54,27.5129,0,10.0,-1,0.001,1.0,1,27.5129,11,0.19000000000000014,SAT,,0.029,
191,33,56,21.4262,0,10.0,-1,0.001,1.0,1,21.4262,11,0.19100000000000014,SAT,,0.029,
192,33,41,0.5335,0,10.0,-1,0.001,1.0,1,0.5335,11,0.19200000000000014,SAT,,0.028,
193,33,4,173.8991,0,10.0,-1,0.001,1.0,1,173.8991,11,0.19300000000000014,SAT,,0.029,
194,26,7,94.6052,0,10.0,-1,0.001,1.0,1,94.6052,11,0.19400000000000014,SAT,,0.028,
195,34,4,100.855,0,10.0,-1,0.001,1.0,1,100.855,11,0.19500000000000015,SAT,,0.029,
196,34,64,32.2379,0,10.0,-1,0.001,1.0,1,32.2379,11,0.19600000000000015,SAT,,0.029,
197,34,41,12.2621,0,10.0,-1,0.001,1.0,1,12.2621,11,0.19700000000000015,SAT,,0.028,
198,34,33,14.8485,0,10.0,-1,0.001,1.0,1,14.8485,11,0.19800000000000015,SAT,,0.028,
199,34,51,33.3954,0,10.0,-1,0.001,1.0,1,33.3954,11,0.19900000000000015,SAT,,0.029,
200,34,27,19.428,0,10.0,-1,0.001,1.0,1,19.428,11,0.20000000000000015,SAT,,0.029,
201,34,5,88.9207,0,10.0,-1,0.001,1.0,1,88.9207,11,0.20100000000000015,SAT,,0.028,
202,34,76,9.8703,0,10.0,-1,0.001,1.0,1,9.8703,11,0.20200000000000015,SAT,,0.03,
203,34,10,43.939,0,10.0,-1,0.001,1.0,1,43.939,11,0.20300000000000015,SAT,,0.028,
204,34,72,13.076,0,10.0,-1,0.001,1.0,1,13.076,11,0.20400000000000015,SAT,,0.03,
205,34,11,37.9341,0,10.0,-1,0.001,1.0,1,37.9341,11,0.20500000000000015,SAT,,0.028,
