12:14:22.738 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.version.VersionTracker - Version of OS is Mac OS X 10.8.5 (x86_64) 
12:14:22.738 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.version.VersionTracker - Version of Random Forest Library is v1.10.01-development-6 (415191bb90cf) 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.version.VersionTracker - Version of SMAC is v2.10.02-development-36 (5c2edb3dd8f6) 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.version.VersionTracker - Version of zilla is ERROR LOADING VERSION INFORMATION 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.h.builders.SMACHydraWrapper - Parsing (default) options from file: /Users/Chris/.aeatk/ipc-tae.opt 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.h.builders.SMACHydraWrapper - Parsing (default) options from file: /Users/Chris/.aeatk/mysqldbtae.opt 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.h.builders.SMACHydraWrapper - Parsing (default) options from file: /Users/Chris/.aeatk/cli-tae.opt 
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.h.builders.SMACHydraWrapper - Logging to /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/hydra-output/Hydra_Branin/Hydra-1/smac_runs/Iteration_0_Run_1.
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.j.JCommanderHelper - Call String:
12:14:22.739 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.a.m.j.JCommanderHelper - java -cp /Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/hydra-1.1-development-2595c69.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/fastrf-1.10.01-hydra.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/aeatk-2.08.01-hydra.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/mysqldbtae-2.08.01-hydra.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/smac-smac-v2.10.02-hydra.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jDTs-jDTs.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jParFor-jParFor.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/matlab-matlab.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/Zilla-1.8-development-8fc9055.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-collections-3.2.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-lang3-3.3.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-collections4-4.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/opencsv-2.4.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/guava-18.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/logback-access-1.1.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/logback-classic-1.1.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/logback-core-1.1.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jcommander-1.35-patched.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/libsvm-3.17.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/weka-stable-3.6.6.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spi-0.2.4.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-io-2.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-math-2.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/exp4j-0.3.10.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jama-1.0.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jcip-annotations-1.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/numerics4j-1.3.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/mchange-commons-java-0.2.7.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/mysql-connector-java-5.1.33.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/c3p0-0.9.5-pre8.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/c3p0-oracle-thin-extras-0.9.5-pre8.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/metrics-core-3.1.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/httpasyncclient-4.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/metrics-jvm-3.1.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-web-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jna-4.0.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/httpclient-4.4.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/java-cup-0.11a.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/httpcore-4.4.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/httpcore-nio-4.4.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-logging-1.2.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-aop-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-beans-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-context-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-core-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/aopalliance-1.0.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/spring-expression-4.1.5.RELEASE.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-math3-3.3.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jackson-datatype-guava-2.5.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/slf4j-api-1.7.7.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/commons-codec-1.9.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jackson-databind-2.5.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jackson-core-2.5.1.jar:/Users/Chris/Documents/workspace/hydra/build/install/hydra/lib/jackson-annotations-2.5.0.jar ca.ubc.cs.beta.hydra.builders.SMACHydraWrapper --num-iterations 8 --num-smac-runs 2 --num-configs-per-iter 1 --rungroup Hydra_Branin --num-run 1 --smacOptions ./scenario.txt --smac-execution-options ./smac-execution-options-local.txt --zilla-options ./zilla-options.txt --portfolio-evaluation VBS --do-warm-start true --portfolio-objective VBS --save-porfolio-performance true 
